word,phonetic,meaning,example
sustain,/səˈsteɪn/,维持,We need enough food to sustain life.
illuminate,/ɪˈluːmɪneɪt/,照亮,The lamp illuminates the dark room.
deficit,/ˈdefɪsɪt/,赤字,The company faces a budget deficit.
vulnerable,/ˈvʌlnərəbl/,易受伤害的,Children are vulnerable to this disease.
compromise,/ˈkɑːmprəmaɪz/,妥协,They reached a compromise after long talks.
thrive,/θraɪv/,兴旺,These plants thrive in sunlight.
conceive,/kənˈsiːv/,构想,He conceived a brilliant plan.
exceed,/ɪkˈsiːd/,超过,His performance exceeded my expectations.
fluctuate,/ˈflʌktʃueɪt/,波动,Prices fluctuate daily in this market.
negligible,/ˈneɡlɪdʒəbl/,微不足道的,The error is negligible for this test.
mitigate,/ˈmɪtɪɡeɪt/,减轻,This medicine can mitigate the pain.
obscure,/əbˈskjʊr/,模糊的,The stars are obscured by clouds.
persist,/pərˈsɪst/,坚持,He persists in his bad habits.
rational,/ˈræʃənl/,理性的,She made a rational decision.
rigorous,/ˈrɪɡərəs/,严格的,The exam has rigorous standards.
spontaneous,/spɑːnˈteɪniəs/,自发的,The crowd gave spontaneous applause.
transient,/ˈtrænʃnt/,短暂的,Life is transient so enjoy every moment.
underlying,/ˌʌndərˈlaɪɪŋ/,潜在的,The underlying cause is still unknown.
versatile,/ˈvɜːrsətl/,多功能的,This tool is very versatile.
withstand,/wɪðˈstænd/,承受,The bridge can withstand strong winds.
zealous,/ˈzeləs/,热情的,She is a zealous supporter of the cause.
accommodate,/əˈkɑːmədeɪt/,容纳,This hall can accommodate 500 people.
ambiguous,/æmˈbɪɡjuəs/,含糊不清的,His reply was ambiguous to everyone.
benevolent,/bəˈnevələnt/,仁慈的,He is a benevolent old man.
coherent,/koʊˈhɪrənt/,连贯的,Your essay is not coherent at all.
deteriorate,/dɪˈtɪriəreɪt/,恶化,His health began to deteriorate rapidly.
elaborate,/ɪˈlæbərət/,详尽的,She gave an elaborate explanation.
fragile,/ˈfrædʒl/,易碎的,Handle this fragile vase carefully.
gracious,/ˈɡreɪʃəs/,亲切的,She was gracious to all guests.
hierarchy,/ˈhaɪərɑːrki/,等级制度,The company has a strict hierarchy.
identical,/aɪˈdentɪkl/,完全相同的,These two keys are identical.
jeopardize,/ˈdʒepərdaɪz/,危及,Smoking can jeopardize your health.
keen,/kiːn/,敏锐的,Dogs have a keen sense of smell.
legitimate,/lɪˈdʒɪtɪmət/,合法的,This business is legitimate.
magnify,/ˈmæɡnɪfaɪ/,放大,A microscope magnifies tiny objects.
notorious,/noʊˈtɔːriəs/,臭名昭著的,The city is notorious for crime.
obligation,/ˌɑːblɪˈɡeɪʃn/,义务,You have an obligation to report this.
plausible,/ˈplɔːzəbl/,似乎合理的,His story sounds plausible but false.
quench,/kwentʃ/,解渴,Water quenches your thirst best.
replenish,/rɪˈplenɪʃ/,补充,Let me replenish your glass.
scrutinize,/ˈskruːtənaɪz/,仔细检查,The lawyer scrutinized the document.
tedious,/ˈtiːdiəs/,冗长乏味的,This work is really tedious.
unanimous,/juːˈnænɪməs/,全体一致的,The vote was unanimous.
validate,/ˈvælɪdeɪt/,证实,Experiments validated his theory.
warrant,/ˈwɔːrənt/,保证,His skill warrants your trust.
yield,/jiːld/,产生,This investment yields high returns.
zeal,/ziːl/,热情,He worked with great zeal.
abrupt,/əˈbrʌpt/,突然的,The bus came to an abrupt stop.
blunt,/blʌnt/,直率的,His blunt reply surprised me.
casual,/ˈkæʒuəl/,随意的,She wore casual clothes to the party.
deduce,/dɪˈduːs/,推断,From the clues we can deduce the truth.
eccentric,/ɪkˈsentrɪk/,古怪的,My neighbor is an eccentric old man.
feasible,/ˈfiːzəbl/,可行的,Your plan sounds feasible.
grim,/ɡrɪm/,严峻的,The future looks grim for the industry.
hinder,/ˈhɪndər/,阻碍,Bad weather hindered our progress.
incentive,/ɪnˈsentɪv/,激励,The bonus is a strong incentive.
juvenile,/ˈdʒuːvənl/,青少年,This law applies to juveniles.
lucrative,/ˈluːkrətɪv/,利润丰厚的,He found a lucrative job.
marginal,/ˈmɑːrdʒɪnl/,微小的,There is only a marginal difference.
nuisance,/ˈnuːsns/,讨厌的人或事,The noise is a terrible nuisance.
opponent,/əˈpoʊnənt/,对手,He defeated his opponent easily.
paradigm,/ˈpærədaɪm/,范例,This case is a paradigm of justice.
quantify,/ˈkwɑːntɪfaɪ/,量化,It is hard to quantify happiness.
resilient,/rɪˈzɪliənt/,有韧性的,This material is highly resilient.
stagnant,/ˈstæɡnənt/,停滞的,The economy remains stagnant.
tentative,/ˈtentətɪv/,试探性的,We made a tentative agreement.
unprecedented,/ʌnˈpresɪdentɪd/,前所未有的,This is an unprecedented event.
vigorous,/ˈvɪɡərəs/,精力充沛的,He takes vigorous exercise daily.
widespread,/ˈwaɪdspred/,广泛的,There is widespread support for the law.
xenophobia,/ˌzenəˈfoʊbiə/,仇外心理,Xenophobia harms social harmony.
yearn,/jɜːrn/,渴望,She yearns for a peaceful life.
accumulate,/əˈkjuːmjəleɪt/,积累,Dust accumulates quickly on shelves.
bewilder,/bɪˈwɪldər/,使迷惑,The maze bewildered the children.
catastrophe,/kəˈtæstrəfi/,灾难,The earthquake was a major catastrophe.
dilemma,/dɪˈlemə/,进退两难的境地,He faced a moral dilemma.
escalate,/ˈeskəleɪt/,升级,The conflict may escalate further.
foster,/ˈfɔːstər/,培养,This program fosters creativity.
grievous,/ˈɡriːvəs/,严重的,The loss is a grievous blow.
hamper,/ˈhæmpər/,妨碍,His injury hampered his performance.
impair,/ɪmˈper/,损害,Alcohol can impair your judgment.
lavish,/ˈlævɪʃ/,浪费的,He threw a lavish party.
malicious,/məˈlɪʃəs/,恶意的,Someone spread malicious rumors.
nominate,/ˈnɑːmɪneɪt/,提名,They nominated him for the award.
overt,/oʊˈvɜːrt/,公开的,There is no overt hostility.
pragmatic,/præɡˈmætɪk/,务实的,She is a pragmatic manager.
reciprocate,/rɪˈsɪprəkeɪt/,回报,He never reciprocates my kindness.
scrutiny,/ˈskruːtəni/,细查,His actions came under scrutiny.
tangible,/ˈtændʒəbl/,有形的,We need tangible results.
ultimatum,/ˌʌltɪˈmeɪtəm/,最后通牒,The enemy ignored the ultimatum.
viable,/ˈvaɪəbl/,可行的,Is this solution commercially viable?
wholesome,/ˈhoʊlsəm/,有益健康的,Eat wholesome foods.
adapt,/əˈdæpt/,适应,Animals adapt to new environments.
brevity,/ˈbrevəti/,简洁,The brevity of his speech impressed me.
consensus,/kənˈsensəs/,共识,The group reached a consensus.
distort,/dɪˈstɔːrt/,扭曲,His face was distorted by anger.
endure,/ɪnˈdʊr/,忍受,She endured the pain bravely.
facilitate,/fəˈsɪlɪteɪt/,促进,This tool facilitates communication.
genuine,/ˈdʒenjuɪn/,真诚的,Her smile was genuine.
homogeneous,/ˌhoʊməˈdʒiːniəs/,同质的,The population is not homogeneous.
inevitable,/ɪnˈevɪtəbl/,不可避免的,Accidents are inevitable in traffic.
jargon,/ˈdʒɑːrɡən/,行话,This document is full of technical jargon.
keenly,/ˈkiːnli/,强烈地,He is keenly aware of the danger.
latent,/ˈleɪtnt/,潜在的,Latent talent may emerge later.
momentum,/moʊˈmentəm/,动力,The campaign gained momentum.
novel,/ˈnɑːvl/,新颖的,She has a novel approach to the problem.
optimal,/ˈɑːptɪməl/,最佳的,This is the optimal solution.
prominent,/ˈprɑːmɪnənt/,突出的,He is a prominent scientist.
query,/ˈkwɪri/,疑问,I have a query about this bill.
reconcile,/ˈrekənsaɪl/,调和,We must reconcile work and family.
subtle,/ˈsʌtl/,微妙的,There is a subtle difference.
toxic,/ˈtɑːksɪk/,有毒的,Some chemicals are highly toxic.
utilize,/ˈjuːtəlaɪz/,利用,We should utilize all resources.
wither,/ˈwɪðər/,枯萎,The flowers withered in the heat.
youthful,/ˈjuːθfl/,年轻的,She maintains a youthful appearance.
abnormal,/æbˈnɔːrml/,反常的,This weather is abnormal for spring.
bizarre,/bɪˈzɑːr/,怪异的,His behavior was bizarre.
coincide,/ˌkoʊɪnˈsaɪd/,同时发生,The two events coincide.
deviate,/ˈdiːvieɪt/,偏离,Do not deviate from the rules.
emerge,/iˈmɜːrdʒ/,出现,A new leader emerged.
flaw,/flɔː/,缺陷,The plan has a fatal flaw.
guarantee,/ˌɡærənˈtiː/,保证,We cannot guarantee success.
hazardous,/ˈhæzərdəs/,危险的,This chemical is hazardous.
illicit,/ɪˈlɪsɪt/,非法的,He was caught selling illicit drugs.
judicial,/dʒuˈdɪʃl/,司法的,The judicial system is independent.
kudos,/ˈkuːdoʊz/,荣誉,She received kudos for her work.
legacy,/ˈleɡəsi/,遗产,His legacy lives on.
manifest,/ˈmænɪfest/,显示,The disease manifests as a rash.
nurture,/ˈnɜːrtʃər/,养育,Parents nurture their children.
obsolete,/ˌɑːbsəˈliːt/,过时的,This technology is obsolete.
prompt,/prɑːmpt/,促使,The incident prompted an investigation.
radical,/ˈrædɪkl/,激进的,He holds radical views.
skeptical,/ˈskeptɪkl/,怀疑的,She is skeptical about the news.
turbulent,/ˈtɜːrbjələnt/,动荡的,The country has a turbulent history.
uneasy,/ʌnˈiːzi/,不安的,I feel uneasy about this deal.
validity,/vəˈlɪdəti/,有效性,The validity of the test is proven.
weary,/ˈwɪri/,疲倦的,He felt weary after the long trip.
appreciate,/əˈpriːʃieɪt/,欣赏,I appreciate your help.
correlate,/ˈkɔːrəleɪt/,关联,Smoking correlates with lung cancer.
diminish,/dɪˈmɪnɪʃ/,减少,His influence diminished over time.
enhance,/ɪnˈhæns/,提高,This sauce enhances the flavor.
frequent,/ˈfriːkwənt/,频繁的,He makes frequent trips abroad.
gratitude,/ˈɡrætɪtuːd/,感激,I owe you a debt of gratitude.
highlight,/ˈhaɪlaɪt/,强调,The report highlights the problem.
interpret,/ɪnˈtɜːrprət/,解释,How do you interpret this data?
justify,/ˈdʒʌstɪfaɪ/,证明正当,You cannot justify such behavior.
liberal,/ˈlɪbərəl/,开明的,She has liberal views on marriage.
maintain,/meɪnˈteɪn/,维持,He maintained his innocence.
neutral,/ˈnuːtrəl/,中立的,Switzerland remained neutral.
optimistic,/ˌɑːptɪˈmɪstɪk/,乐观的,He is optimistic about the future.
perceive,/pərˈsiːv/,察觉,We perceive the world through senses.
quest,/kwest/,探索,The quest for truth never ends.
relevant,/ˈreləvənt/,相关的,Your comment is not relevant.
significant,/sɪɡˈnɪfɪkənt/,重要的,This is a significant discovery.
tolerate,/ˈtɑːləreɪt/,容忍,I cannot tolerate his rudeness.
undermine,/ˌʌndərˈmaɪn/,暗中破坏,Stress can undermine your health.
violate,/ˈvaɪəleɪt/,违反,You violated the rules.
witness,/ˈwɪtnəs/,目击,He witnessed the accident.
advocate,/ˈædvəkeɪt/,提倡,We advocate equal rights.
beneficial,/ˌbenɪˈfɪʃl/,有益的,Exercise is beneficial to health.
conserve,/kənˈsɜːrv/,保护,We must conserve water.
diverse,/daɪˈvɜːrs/,多样的,The city has a diverse population.
evaluate,/ɪˈvæljueɪt/,评估,We need to evaluate the results.
flexible,/ˈfleksəbl/,灵活的,Our schedule is flexible.
generate,/ˈdʒenəreɪt/,产生,The sun generates energy.
humble,/ˈhʌmbl/,谦逊的,He is humble about his success.
integrate,/ˈɪntɪɡreɪt/,整合,We must integrate theory with practice.
loyal,/ˈlɔɪəl/,忠诚的,A loyal friend stands by you.
moderate,/ˈmɑːdərət/,温和的,She has a moderate appetite.
negotiate,/nɪˈɡoʊʃieɪt/,谈判,They negotiated a peace treaty.
participate,/pɑːrˈtɪsɪpeɪt/,参加,Everyone should participate.
recognize,/ˈrekəɡnaɪz/,认出,I recognized her voice immediately.
simulate,/ˈsɪmjuleɪt/,模拟,The computer simulates real flight.
transform,/trænsˈfɔːrm/,改变,Hard work transformed his life.
ultimate,/ˈʌltɪmət/,最终的,Our ultimate goal is world peace.
visualize,/ˈvɪʒuəlaɪz/,想象,Try to visualize your success.
adequate,/ˈædɪkwət/,充足的,We have adequate supplies.
collaborate,/kəˈlæbəreɪt/,合作,We will collaborate on this project.
discriminate,/dɪˈskrɪmɪneɪt/,区别对待,It is wrong to discriminate.
eliminate,/ɪˈlɪmɪneɪt/,消除,We can eliminate poverty.
frustrate,/ˈfrʌstreɪt/,使沮丧,This problem frustrates me.
guarantee,/ˌɡærənˈtiː/,保证,The product comes with a guarantee.
harmony,/ˈhɑːrməni/,和谐,They live in perfect harmony.
illustrate,/ˈɪləstreɪt/,说明,Let me illustrate with an example.
luxury,/ˈlʌkʃəri/,奢侈品,He cannot afford such luxury.
motivate,/ˈmoʊtɪveɪt/,激励,Good leaders motivate their teams.
omit,/əˈmɪt/,省略,You can omit the last paragraph.
provoke,/prəˈvoʊk/,激怒,His words provoked her anger.
reinforce,/ˌriːɪnˈfɔːrs/,加强,Praise reinforces good behavior.
sequence,/ˈsiːkwəns/,顺序,Follow the correct sequence.
tragic,/ˈtrædʒɪk/,悲惨的,It was a tragic accident.
unify,/ˈjuːnɪfaɪ/,统一,The leader unified the country.
vivid,/ˈvɪvɪd/,生动的,He gave a vivid description.
welfare,/ˈwelfer/,福利,The state provides welfare services.
anticipate,/ænˈtɪsɪpeɪt/,预期,We anticipate a big success.
criterion,/kraɪˈtɪriən/,标准,Safety is our main criterion.
dramatic,/drəˈmætɪk/,戏剧性的,There was a dramatic change.
exploit,/ɪkˈsplɔɪt/,利用,We must exploit our resources.
fatal,/ˈfeɪtl/,致命的,The accident was fatal.
gloomy,/ˈɡluːmi/,阴暗的,The future looks gloomy.
highlight,/ˈhaɪlaɪt/,突出,The study highlights the problem.
initiate,/ɪˈnɪʃieɪt/,开始,We will initiate a new project.
legitimate,/lɪˈdʒɪtɪmət/,合法的,His claim is legitimate.
monitor,/ˈmɑːnɪtər/,监控,The camera monitors the area.
notion,/ˈnoʊʃn/,概念,He has a strange notion of time.
occupy,/ˈɑːkjupaɪ/,占用,This task will occupy my time.
profound,/prəˈfaʊnd/,深刻的,She has profound knowledge.
quote,/kwoʊt/,引用,He quoted a famous poet.
remind,/rɪˈmaɪnd/,提醒,Please remind me to call her.
satisfy,/ˈsætɪsfaɪ/,满足,This food will satisfy your hunger.
tendency,/ˈtendənsi/,倾向,She has a tendency to worry.
unexpected,/ˌʌnɪkˈspektɪd/,意外的,The news was unexpected.
verify,/ˈverɪfaɪ/,核实,Can you verify this information?
weird,/wɪrd/,奇怪的,He told a weird story.
zone,/zoʊn/,地带,This is a danger zone.
inspect,/ɪnˈspekt/,检查,A mechanic inspected the car before the long trip.
inspire,/ɪnˈspaɪər/,激励,Her story inspired many young people to follow their dreams.
install,/ɪnˈstɔːl/,安装,They installed a new security system in the house.
instance,/ˈɪnstəns/,例子,There are many instances where teamwork produces better results.
institute,/ˈɪnstɪtuːt/,学院,He works at a famous research institute.
instruct,/ɪnˈstrʌkt/,指导,The manual instructs users on how to assemble the furniture.
instrument,/ˈɪnstrəmənt/,工具,The piano is her favorite musical instrument.
insult,/ɪnˈsʌlt/,侮辱,He took it as an insult when no one laughed at his joke.
integrate/,/ˈɪntɪɡreɪt/,整合,The school works to integrate technology into the classroom.
intellectual/,/ˌɪntəˈlektʃuəl/,知识分子,She enjoys intellectual discussions about philosophy.
intelligence/,/ɪnˈtelɪdʒəns/,智力,Emotional intelligence is just as important as IQ.
intense/,/ɪnˈtens/,强烈的,The heat during summer here is truly intense.
intention/,/ɪnˈtenʃn/,意图,She had no intention of leaving the company.
interact/,/ˌɪntərˈækt/,互动,Children learn by interacting with each other.
interpret/,/ɪnˈtɜːrprɪt/,解释,Different cultures may interpret the same gesture differently.
interrupt/,/ˌɪntəˈrʌpt/,打断,Please do not interrupt while someone else is speaking.
intervene/,/ˌɪntərˈviːn/,干预,The government had to intervene to stop the crisis.
intimate/,/ˈɪntɪmət/,亲密的,They shared an intimate conversation over dinner.
invade/,/ɪnˈveɪd/,入侵,The army invaded the neighboring country at dawn.
invest/,/ɪnˈvest/,投资,She decided to invest her savings in the stock market.
investigate/,/ɪnˈvestɪɡeɪt/,调查,The police are investigating the cause of the accident.
invisible/,/ɪnˈvɪzəbl/,看不见的,Germs are invisible to the naked eye.
isolate/,/ˈaɪsəleɪt/,隔离,The patient was isolated to prevent the spread of infection.
issue/,/ˈɪʃuː/,问题,Climate change is the most pressing issue of our time.
jail,/dʒeɪl/,监狱,He was sent to jail for committing fraud.
jealous,/ˈdʒeləs/,嫉妒的,She felt jealous when her friend got the promotion.
joint,/dʒɔɪnt/,联合的,The two countries signed a joint declaration.
journal/,/ˈdʒɜːrnl/,日记,She writes in her journal every night before bed.
judge,/dʒʌdʒ/,判断,It is not right to judge people by their appearance.
junior/,/ˈdʒuːniər/,初级的,He is a junior employee who joined the company last year.
jury/,/ˈdʒʊri/,陪审团,The jury reached a unanimous verdict after hours of discussion.
justice/,/ˈdʒʌstɪs/,正义,The lawyer dedicated her career to fighting for justice.
keen,/kiːn/,敏锐的,She has a keen eye for detail in her work.
keyboard/,/ˈkiːbɔːrd/,键盘,The musician played a beautiful melody on the keyboard.
knock,/nɑːk/,敲,Someone knocked on the door late at night.
knowledge/,/ˈnɑːlɪdʒ/,知识,Knowledge is the greatest treasure one can possess.
lack,/læk/,缺乏,The project failed due to a lack of funding.
landscape/,/ˈlændskeɪp/,风景,The landscape in this region is breathtaking.
lane,/leɪn/,车道,Stay in the right lane when driving on the highway.
latter/,/ˈlætər/,后者,Of the two proposals I prefer the latter.
laughter/,/ˈlæftər/,笑声,The room was filled with laughter and joy.
lawyer/,/ˈlɔːjər/,律师,The lawyer defended her client in court.
lean,/liːn/,倾斜,She leaned against the wall to rest for a moment.
lecture/,/ˈlektʃər/,讲座,The professor delivered a fascinating lecture on ancient history.
legal/,/ˈliːɡl/,法律的,You need legal permission to build on this land.
leisure/,/ˈliːʒər/,休闲,Reading is her favorite leisure activity.
liberal/,/ˈlɪbərəl/,自由的,The university promotes a liberal arts education.
liberate/,/ˈlɪbəreɪt/,解放,The soldiers worked to liberate the occupied town.
license/,/ˈlaɪsns/,许可证,You must have a valid license to operate this machinery.
likewise/,/ˈlaɪkwaɪz/,同样地,She enjoyed the film and her friends likewise loved it.
literary/,/ˈlɪtəreri/,文学的,She won a prestigious literary award for her novel.
load,/loʊd/,负载,The truck was carrying a heavy load of bricks.
loan,/loʊn/,贷款,She took out a loan to buy her first house.
logical/,/ˈlɑːdʒɪkl/,合乎逻辑的,His argument was clear and perfectly logical.
loose,/luːs/,松的,The screw was loose and needed to be tightened.
loyal/,/ˈlɔɪəl/,忠诚的,He has been a loyal friend for over twenty years.
luxury/,/ˈlʌkʃəri/,奢侈,Staying at a five-star hotel is a real luxury.
mainstream/,/ˈmeɪnstriːm/,主流的,This idea has become mainstream in recent years.
massive/,/ˈmæsɪv/,巨大的,The earthquake caused massive destruction across the region.
mature,/məˈtʊr/,成熟的,She is very mature for her age.
maximum/,/ˈmæksɪməm/,最大的,The maximum capacity of the theater is five hundred people.
mechanism/,/ˈmekənɪzəm/,机制,Scientists studied the mechanism behind cell growth.
medium/,/ˈmiːdiəm/,中等的,I would like a medium-sized coffee please.
membership/,/ˈmembərʃɪp/,会员资格,Annual membership includes access to all facilities.
mental/,/ˈmentl/,精神的,Mental health is just as important as physical health.
merchant/,/ˈmɜːrtʃənt/,商人,The merchant sold goods from all over the world.
mercy/,/ˈmɜːrsi/,仁慈,The judge showed mercy to the first-time offender.
merit/,/ˈmerɪt/,优点,Each proposal has its own merit and should be considered.
migrate,/ˈmaɪɡreɪt/,迁移,Many birds migrate south during the winter.
military/,/ˈmɪlɪteri/,军事的,He served in the military for ten years.
mineral/,/ˈmɪnərəl/,矿物,This region is rich in mineral resources.
minimum/,/ˈmɪnɪməm/,最低的,The minimum age for voting is eighteen years.
minister/,/ˈmɪnɪstər/,部长,The prime minister addressed the nation on television.
minor/,/ˈmaɪnər/,较小的,There were only minor issues with the new software.
miracle/,/ˈmɪrəkl/,奇迹,It was a miracle that everyone survived the crash.
mission/,/ˈmɪʃn/,任务,The astronauts completed their mission successfully.
mobile/,/ˈmoʊbl/,移动的,Mobile phones have changed the way we communicate.
moderate/,/ˈmɑːdərət/,适度的,Moderate exercise several times a week is recommended.
modify/,/ˈmɑːdɪfaɪ/,修改,We need to modify the plan to fit the new requirements.
molecule/,/ˈmɑːlɪkjuːl/,分子,Water is made up of hydrogen and oxygen molecules.
monitor/,/ˈmɑːnɪtər/,监控,The nurse monitored the patient's heart rate throughout the night.
monument/,/ˈmɑːnjumənt/,纪念碑,The monument stands in the center of the city square.
moral/,/ˈmɔːrəl/,道德的,She faced a difficult moral dilemma at work.
moreover,/mɔːrˈoʊvər/,此外,The plan is effective and moreover it is affordable.
mortgage/,/ˈmɔːrɡɪdʒ/,抵押贷款,They applied for a mortgage to buy their first home.
motion/,/ˈmoʊʃn/,运动,The gentle motion of the boat made her feel sleepy.
motive,/ˈmoʊtɪv/,动机,The police are investigating the motive behind the crime.
multiple/,/ˈmʌltɪpl/,多个的,She holds multiple degrees from different universities.
mutual/,/ˈmjuːtʃuəl/,相互的,They developed a mutual respect over the years.
mystery/,/ˈmɪstəri/,神秘,The disappearance of the plane remains a mystery.
narrative/,/ˈnærətɪv/,叙述,The novel has a very compelling narrative structure.
narrow,/ˈnæroʊ/,狭窄的,The road is too narrow for two cars to pass.
nasty,/ˈnæsti/,令人不快的,He said some very nasty things during the argument.
native,/ˈneɪtɪv/,本地的,English is her native language.
naval/,/ˈneɪvl/,海军的,The naval base is located along the southern coast.
neat,/niːt/,整洁的,She always keeps her desk neat and organized.
negative,/ˈneɡətɪv/,消极的,Try not to focus on the negative aspects of the situation.
neglect,/nɪˈɡlekt/,忽视,Do not neglect your health while pursuing your career.
nerve,/nɜːrv/,神经,She gathered all her nerve and spoke in front of the crowd.
nevertheless/,/ˌnevərðəˈles/,然而,The weather was bad; nevertheless the game continued.
noble,/ˈnoʊbl/,高尚的,She dedicated her life to a noble cause.
nonsense,/ˈnɑːnsens/,胡说,Stop talking nonsense and focus on the real issue.
norm,/nɔːrm/,标准,Working from home has become the new norm.
notable,/ˈnoʊtəbl/,值得注意的,There has been a notable increase in online shopping.
notion,/ˈnoʊʃn/,概念,The notion that money can buy happiness is debatable.
numerous,/ˈnuːmərəs/,许多的,Numerous studies support the benefits of regular exercise.
nursery,/ˈnɜːrsəri/,托儿所,The children played happily in the nursery.
nutrition,/nuˈtrɪʃn/,营养,Good nutrition is essential for a child's development.
obey,/əˈbeɪ/,服从,Soldiers are expected to obey orders without question.
objective,/əbˈdʒektɪv/,目标,The main objective of the project is to reduce costs.
obligation/,/ˌɑːblɪˈɡeɪʃn/,义务,Paying taxes is a civic obligation.
observe,/əbˈzɜːrv/,观察,Scientists observe the behavior of animals in the wild.
obsess,/əbˈses/,痴迷,He is obsessed with collecting rare coins.
obvious,/ˈɑːbviəs/,明显的,The answer to the question was quite obvious.
occupation/,/ˌɑːkjuˈpeɪʃn/,职业,Teaching is a noble occupation that shapes the future.
occupy,/ˈɑːkjupaɪ/,占据,The meeting occupied most of the afternoon.
offend,/əˈfend/,冒犯,I did not mean to offend you with my comment.
operate,/ˈɑːpəreɪt/,操作,Do you know how to operate this machine?
opponent,/əˈpoʊnənt/,对手,She defeated her opponent in the final round of the tournament.
oppose,/əˈpoʊz/,反对,Many citizens opposed the construction of the new highway.
optimistic/,/ˌɑːptɪˈmɪstɪk/,乐观的,She remains optimistic about the future of the company.
orbit,/ˈɔːrbɪt/,轨道,The satellite completed its orbit around the earth.
organ,/ˈɔːrɡən/,器官,The heart is a vital organ in the human body.
orient,/ˈɔːrient/,朝向,The building is oriented toward the south for maximum sunlight.
origin,/ˈɔːrɪdʒɪn/,起源,The origin of this tradition dates back centuries.
outcome,/ˈaʊtkʌm/,结果,The outcome of the election surprised everyone.
outline,/ˈaʊtlaɪn/,概述,She provided a brief outline of her research findings.
output,/ˈaʊtpʊt/,产出,The factory increased its output by twenty percent.
overall,/ˈoʊvərɔːl/,总体的,The overall quality of the product has improved significantly.
overcome/,/ˌoʊvərˈkʌm/,克服,She overcame many obstacles to reach her goal.
overlook/,/ˌoʊvərˈlʊk/,俯瞰,The hotel room overlooks the beautiful garden.
overseas/,/ˌoʊvərˈsiːz/,海外的,Many students choose to study overseas.
overtake/,/ˌoʊvərˈteɪk/,超过,The new company quickly overtook its competitors.
overwhelm/,/ˌoʊvərˈwelm/,压倒,The amount of work can sometimes overwhelm new employees.
owe,/oʊ/,欠,I owe you a great deal for all your kindness.
pace,/peɪs/,步伐,She quickened her pace to catch up with the group.
pale,/peɪl/,苍白的,He turned pale when he heard the shocking news.
panic,/ˈpænɪk/,恐慌,Do not panic in case of an emergency.
parallel,/ˈpærəlel/,平行的,The two roads run parallel to each other.
